jockey_name,jockey_id,category,rides_total,rides_jra,rides_nar,nige_rate,senko_rate,mae_iki_rate,chudan_rate,koho_rate,avg_pos1c_rel,ds_rides,ds_nige_rate,ds_senko_rate,ds_mae_iki_rate,ns_rides,ns_koho_rate,wins,win_rate,recent_rides,recent_nige_rate,recent_mae_iki_rate
野畑凌,a04d8,JRA+NAR,3029,2,3027,14.92,25.85,40.77,27.14,33.11,0.4628,1770,1.47,13.16,14.63,1154,3.21,382,12.61,1548,17.38,44.96
山本聡哉,05445,NAR,3007,0,3007,10.08,22.98,33.06,36.12,35.32,0.5057,1235,0.49,11.01,11.5,726,3.86,670,22.28,858,10.02,33.45
松山,01126,JRA,3000,3000,0,15.73,26.77,42.5,32.5,20.57,0.3796,1027,1.36,14.31,15.68,769,1.56,434,14.47,774,18.48,42.25
飛田愛斗,05609,NAR,2898,0,2898,13.7,25.71,39.41,31.99,32.64,0.4794,1072,3.92,19.5,23.41,745,9.13,472,16.29,861,14.52,41.46
戸崎圭,05386,JRA,2890,2890,0,9.31,25.57,34.88,35.71,22.98,0.4029,1010,1.09,12.38,13.47,687,2.62,464,16.06,725,11.03,37.52
藤本匠,B0014,NAR,2885,0,2885,9.5,19.2,28.7,30.05,45.44,0.5706,0,0.0,0.0,0.0,0,0.0,273,9.46,534,7.12,24.91
菊池一樹,B0059,NAR,2876,0,2876,10.43,21.66,32.09,31.75,41.52,0.5486,0,0.0,0.0,0.0,0,0.0,343,11.93,289,11.42,32.18
杉浦健太,05530,NAR,2869,0,2869,11.99,19.55,31.54,31.58,40.4,0.5281,1209,1.99,12.32,14.31,485,6.19,263,9.17,668,10.63,28.59
鴨宮祥行,05597,NAR,2864,0,2864,12.33,21.37,33.69,33.24,36.84,0.5148,1192,1.93,13.34,15.27,521,4.8,323,11.28,661,12.25,32.98
石川倭,05534,JRA+NAR,2863,33,2830,11.63,24.87,36.5,32.48,36.81,0.5006,1319,1.14,11.14,12.28,887,8.68,573,20.01,1095,12.24,35.8
出水拓人,05579,NAR,2839,0,2839,8.88,21.38,30.26,31.28,41.74,0.5414,1253,2.47,13.89,16.36,471,7.01,237,8.35,656,10.98,30.64
阿部武臣,B0036,NAR,2839,0,2839,14.93,25.68,40.61,33.08,32.37,0.4847,0,0.0,0.0,0.0,0,0.0,327,11.52,134,14.93,32.09
細川智史,05602,NAR,2814,0,2814,7.64,16.17,23.81,28.82,49.64,0.5867,2066,2.27,10.02,12.29,472,4.87,224,7.96,1153,7.29,24.02
横山武,01170,JRA,2798,2798,0,14.69,26.66,41.35,32.88,20.34,0.3751,945,1.59,11.96,13.54,710,3.66,412,14.72,710,14.93,42.39
菅原明,01179,JRA,2782,2782,0,9.67,19.88,29.55,36.92,28.18,0.4376,1110,1.26,8.47,9.73,480,0.62,230,8.27,642,9.5,30.69
岩田望,01174,JRA,2777,2777,0,9.18,24.27,33.45,38.53,23.48,0.4137,1015,0.79,12.02,12.81,570,1.4,366,13.18,631,7.29,29.79
川島拓,a0291,NAR,2776,0,2776,5.15,13.65,18.8,26.98,56.84,0.6339,1431,2.17,8.53,10.69,311,11.58,184,6.63,647,4.64,16.23
渡辺竜也,05558,NAR,2762,0,2762,13.5,34.9,48.41,38.41,25.67,0.446,760,3.42,22.76,26.18,759,5.67,738,26.72,739,13.67,45.33
船山蔵人,B0054,NAR,2757,0,2757,8.6,19.41,28.0,29.56,47.48,0.5832,0,0.0,0.0,0.0,0,0.0,245,8.89,708,9.32,29.52
幸,00732,JRA,2726,2726,0,8.91,21.9,30.81,32.65,32.76,0.4691,1005,1.0,10.45,11.44,474,3.38,179,6.57,413,8.23,30.27
落合玄太,05578,NAR,2691,0,2691,20.29,26.9,47.19,31.14,26.46,0.4247,1051,1.9,14.37,16.27,818,2.2,454,16.87,849,17.79,47.0
鈴木祐,05552,JRA+NAR,2686,1,2685,11.06,20.29,31.35,31.09,40.77,0.534,1329,2.33,12.11,14.45,438,2.28,187,6.96,925,9.41,27.57
張田昂,05549,NAR,2640,0,2640,9.73,20.91,30.64,37.69,33.48,0.492,848,0.94,11.08,12.03,498,5.22,286,10.83,710,9.3,30.7
村上忍,05294,NAR,2637,0,2637,12.78,32.12,44.9,36.63,24.42,0.4351,876,1.37,17.69,19.06,723,3.46,453,17.18,548,13.87,45.8
大原浩司,05368,NAR,2636,0,2636,9.48,21.43,30.92,29.36,46.74,0.5704,1443,3.53,12.75,16.29,328,6.4,177,6.71,700,7.57,26.43
村上章,B0003,NAR,2619,0,2619,5.69,14.36,20.05,26.19,58.53,0.6609,0,0.0,0.0,0.0,0,0.0,178,6.8,607,4.94,18.62
石川慎将,05478,NAR,2606,0,2606,11.55,23.75,35.3,36.03,32.16,0.483,924,3.9,16.02,19.91,655,10.23,435,16.69,703,13.09,41.39
友森翔太,a023e,NAR,2600,0,2600,8.31,14.73,23.04,27.62,51.38,0.5952,1227,1.63,7.09,8.72,335,5.07,180,6.92,643,6.53,18.82
坂井,01163,JRA,2587,2587,0,16.54,29.84,46.39,28.22,20.56,0.3649,771,0.91,16.34,17.25,711,0.84,379,14.65,599,14.02,47.91
大山真吾,05364,NAR,2529,0,2529,8.19,16.01,24.2,25.03,54.05,0.6237,1145,1.05,8.91,9.96,310,8.06,211,8.34,592,9.29,25.34
木之前葵,a02bb,NAR,2516,0,2516,8.07,15.9,23.97,32.07,44.99,0.5565,1383,1.95,7.95,9.91,392,3.83,161,6.4,804,9.08,25.5
金山昇馬,05601,NAR,2509,0,2509,9.84,18.65,28.5,28.46,45.4,0.5566,1347,2.23,13.29,15.52,439,8.88,206,8.21,684,10.96,31.29
竹吉徹,05548,NAR,2492,0,2492,10.67,19.54,30.22,31.18,41.69,0.5366,1226,3.02,11.58,14.6,364,6.32,243,9.75,632,8.7,26.42
松井伸也,05502,NAR,2489,0,2489,6.07,17.16,23.22,30.17,50.98,0.6033,1380,0.65,8.62,9.28,303,3.3,126,5.06,825,5.09,19.76
西村淳,01171,JRA,2486,2486,0,13.68,27.84,41.51,32.38,21.52,0.3857,822,1.34,13.63,14.96,621,1.93,259,10.42,391,15.86,41.18
中島龍也,a02dc,NAR,2468,0,2468,19.53,28.81,48.34,38.29,24.03,0.4297,871,3.56,26.52,30.08,841,3.92,465,18.84,740,21.22,51.62
桑村真明,05411,NAR,2440,0,2440,14.39,23.16,37.54,33.44,34.14,0.4822,1124,1.33,8.01,9.34,607,4.61,335,13.73,1030,11.84,28.64
達城龍次,05540,NAR,2434,0,2434,5.83,18.82,24.65,31.8,43.3,0.542,1100,0.27,7.45,7.73,388,3.87,186,7.64,655,4.12,25.04
多田羅誠,a03e2,NAR,2424,0,2424,12.25,22.15,34.41,31.27,38.28,0.5137,990,1.31,13.74,15.05,479,5.01,312,12.87,697,12.63,37.45
