rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.102180,17.9500
2,jockey_pr_2y,0.056344,9.8981
3,jockey_place_rank_in_race,0.052422,9.2091
4,field_count,0.038198,6.7102
5,venue_sim_place_rate,0.027187,4.7759
6,trainer_place_rank_in_race,0.017989,3.1601
7,horse_avg_finish,0.017309,3.0406
8,relative_dev_mean_5,0.014389,2.5278
9,relative_dev_recent,0.013189,2.3169
10,jockey_place_rate_90d,0.012502,2.1962
11,grade_code,0.010624,1.8662
12,dev_run2_adj,0.009839,1.7284
13,jockey_sim_venue_dist_pr,0.008693,1.5271
14,horse_pr_2y,0.007919,1.3912
15,jockey_smile_pr,0.007338,1.2890
16,speed_index_adj_6m,0.006603,1.1600
17,jt_combo_place_rate_30d,0.006421,1.1280
18,trainer_surf_dist_pr,0.006301,1.1069
19,horse_days_since,0.005855,1.0286
20,front_runner_count_in_race,0.005319,0.9344
21,venue_sim_runs,0.005284,0.9282
22,age,0.004944,0.8686
23,trend_position_slope,0.004875,0.8564
24,trainer_smile_pr,0.004323,0.7595
25,trainer_win_rate,0.004310,0.7571
26,relative_dev_max_5,0.004191,0.7362
27,class_change,0.004091,0.7188
28,trainer_place_rate_90d,0.004057,0.7127
29,sire_context_pr,0.004012,0.7048
30,trainer_horse_pr,0.003653,0.6417
