rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.366728,12.0020
2,dev_run1_adj,0.239306,7.8318
3,venue_sim_runs,0.187765,6.1450
4,dev_run2_adj,0.137082,4.4863
5,jockey_place_rank_in_race,0.120060,3.9292
6,horse_avg_finish,0.097140,3.1791
7,trainer_place_rank_in_race,0.092461,3.0260
8,venue_sim_place_rate,0.075899,2.4840
9,grade_code,0.071776,2.3490
10,same_dir_runs,0.066005,2.1602
11,jockey_pr_2y,0.063483,2.0776
12,jockey_surf_dist_pr,0.048889,1.6000
13,pace_pressure_index,0.045515,1.4896
14,jockey_sim_venue_dist_pr,0.045151,1.4777
15,trainer_win_rate,0.044061,1.4420
16,speed_index_avg_6m,0.043209,1.4141
17,horse_days_since,0.043082,1.4100
18,speed_index_adj_6m,0.042835,1.4019
19,front_runner_count_in_race,0.041624,1.3622
20,jockey_place_rate_90d,0.041360,1.3536
21,relative_dev_mean_5,0.039980,1.3084
22,jockey_win_rate,0.037383,1.2234
23,trainer_smile_pr,0.036906,1.2078
24,gate_no,0.036669,1.2001
25,horse_condition_match,0.035626,1.1659
26,trainer_place_rate_90d,0.035211,1.1524
27,trainer_win_rate_90d,0.034403,1.1259
28,trainer_surf_dist_pr,0.034282,1.1220
29,jt_combo_place_rate_30d,0.033197,1.0864
30,jockey_win_rate_90d,0.031762,1.0395
