rank,feature_name,mean_abs_shap,relative_pct
1,horse_venue_pr,0.288723,10.7538
2,dev_run1_adj,0.262116,9.7627
3,field_count,0.211316,7.8707
4,jockey_place_rank_in_race,0.149295,5.5606
5,venue_sim_runs,0.112935,4.2064
6,relative_dev_max_5,0.097600,3.6352
7,dev_run2_adj,0.096370,3.5894
8,trainer_horse_pr,0.084975,3.1650
9,trainer_place_rank_in_race,0.068807,2.5628
10,age,0.067615,2.5184
11,front_runner_count_in_race,0.066400,2.4731
12,pace_pressure_index,0.061390,2.2865
13,relative_dev_mean_5,0.050583,1.8840
14,style_pace_affinity,0.049154,1.8308
15,speed_index_adj_6m,0.045451,1.6929
16,speed_index_avg_6m,0.040987,1.5266
17,horse_dist_pr,0.040429,1.5058
18,speed_index_adj_best3,0.039452,1.4694
19,weight_change,0.038672,1.4404
20,ml_pos_est,0.036150,1.3465
21,speed_index_best_1y,0.036058,1.3430
22,speed_index_best3,0.033439,1.2455
23,first_corner_m,0.033393,1.2437
24,relative_dev_recent,0.027074,1.0084
25,jt_combo_wr,0.026799,0.9981
26,trainer_place_rate_90d,0.024794,0.9235
27,trainer_win_rate_90d,0.022735,0.8468
28,jockey_cond_pr,0.020668,0.7698
29,past_corner_loss_sec_last,0.020505,0.7637
30,horse_days_since,0.020422,0.7606
