yyyymm,confidence,played,hit_races,hit_pct_races,total_invest,total_payout,roi_pct,umaren_a_hit,umaren_a_hit_pct,umaren_a_roi,umaren_b_hit,umaren_b_hit_pct,umaren_b_roi,wide_a_hit,wide_a_hit_pct,wide_a_roi,wide_b_hit,wide_b_hit_pct,wide_b_roi
202601,B,750,334,44.53,300000,224740,74.91,110,14.67,78.23,69,9.20,60.19,218,29.07,83.55,170,22.67,77.69
202601,C,67,30,44.78,26800,15060,56.19,10,14.93,65.52,5,7.46,32.24,21,31.34,92.54,13,19.40,34.48
202602,SS,86,42,48.84,34400,24250,70.49,16,18.60,86.98,8,9.30,55.47,28,32.56,71.40,22,25.58,68.14
202602,S,92,48,52.17,36800,29910,81.28,14,15.22,47.93,13,14.13,100.11,33,35.87,89.02,30,32.61,88.04
202602,A,155,82,52.90,62000,67930,109.56,29,18.71,82.45,21,13.55,136.90,48,30.97,81.55,52,33.55,137.35
202602,B,661,301,45.54,264400,216850,82.02,112,16.94,112.53,65,9.83,63.98,209,31.62,81.38,159,24.05,70.18
202602,C,41,17,41.46,16400,9320,56.83,5,12.20,42.68,2,4.88,73.90,13,31.71,68.54,5,12.20,42.20
202603,SS,102,50,49.02,40800,21010,51.50,8,7.84,18.73,12,11.76,60.00,29,28.43,57.55,26,25.49,69.71
202603,S,168,99,58.93,67200,68360,101.73,39,23.21,98.51,20,11.90,95.60,70,41.67,98.27,50,29.76,114.52
202603,A,245,133,54.29,98000,77660,79.24,43,17.55,62.33,26,10.61,69.14,94,38.37,90.82,77,31.43,94.69
202603,B,890,417,46.85,356000,290670,81.65,152,17.08,78.25,90,10.11,81.22,289,32.47,90.18,220,24.72,76.94
202603,C,58,33,56.90,23200,16810,72.46,7,12.07,42.93,8,13.79,82.59,17,29.31,65.69,21,36.21,98.62
202604,SS,96,47,48.96,38400,32260,84.01,17,17.71,85.00,11,11.46,85.21,30,31.25,71.67,29,30.21,94.17
202604,S,137,66,48.18,54800,67290,122.79,16,11.68,45.04,22,16.06,220.36,43,31.39,116.93,39,28.47,108.83
202604,A,221,102,46.15,88400,69380,78.48,30,13.57,81.00,20,9.05,58.33,73,33.03,82.85,53,23.98,91.76
202604,B,772,360,46.63,308800,262310,84.94,131,16.97,102.33,68,8.81,66.80,251,32.51,84.38,185,23.96,86.27
202604,C,79,42,53.16,31600,28070,88.83,11,13.92,46.08,10,12.66,89.49,34,43.04,114.05,24,30.38,105.70
