rank,feature_name,mean_abs_shap,relative_pct
1,horse_avg_finish,0.100911,13.4953
2,field_count,0.076111,10.1787
3,jockey_place_rank_in_race,0.075819,10.1396
4,relative_dev_mean_5,0.074109,9.9109
5,dev_run1_adj,0.057964,7.7518
6,trainer_place_rank_in_race,0.032960,4.4078
7,venue_sim_place_rate,0.028702,3.8384
8,jockey_pr_2y,0.027970,3.7405
9,jockey_place_rate_90d,0.019475,2.6045
10,relative_dev_recent,0.013730,1.8362
11,same_dir_place_rate,0.013633,1.8232
12,relative_dev_max_5,0.012415,1.6603
13,grade_code,0.012207,1.6325
14,horse_context_pr,0.011520,1.5406
15,past_corner_loss_sec_last,0.010823,1.4475
16,kishu_pattern_code,0.009702,1.2974
17,jockey_sim_venue_dist_pr,0.008914,1.1922
18,horse_pr_2y,0.008317,1.1123
19,speed_index_adj_6m,0.006313,0.8442
20,horse_dist_pr,0.005846,0.7819
21,trend_position_slope,0.005587,0.7471
22,jockey_smile_pr,0.005489,0.7341
23,age,0.005010,0.6700
24,jockey_cond_pr,0.004630,0.6192
25,trainer_sim_venue_dist_pr,0.004518,0.6041
26,trainer_pr_2y,0.004381,0.5859
27,jockey_win_rate,0.004317,0.5773
28,trainer_cond_pr,0.004265,0.5704
29,jt_combo_place_rate_30d,0.004204,0.5622
30,jt_combo_wr,0.004184,0.5595
