rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.381238,14.1191
2,venue_sim_place_rate,0.175785,6.5102
3,dev_run1_adj,0.141381,5.2360
4,horse_avg_finish,0.120847,4.4756
5,dev_run2_adj,0.114534,4.2418
6,jockey_place_rank_in_race,0.086303,3.1962
7,trainer_place_rank_in_race,0.085747,3.1756
8,jockey_place_rate_90d,0.084066,3.1134
9,relative_dev_mean_5,0.082751,3.0647
10,horse_win_rate,0.065976,2.4434
11,venue_sim_runs,0.064504,2.3889
12,jockey_pr_2y,0.060438,2.2383
13,horse_days_since,0.051993,1.9256
14,trainer_win_rate,0.042252,1.5648
15,relative_dev_max_5,0.039006,1.4446
16,relative_dev_recent,0.038640,1.4310
17,jockey_win_rate,0.038230,1.4158
18,jockey_cond_pr,0.034261,1.2689
19,jockey_win_rate_90d,0.033712,1.2485
20,past_corner_loss_sec_last,0.033547,1.2424
21,pace_count_fast,0.031709,1.1744
22,grade_code,0.031607,1.1706
23,trainer_dist_pr,0.029844,1.1053
24,age,0.029520,1.0933
25,trainer_cond_pr,0.028636,1.0605
26,speed_index_best_1y,0.026643,0.9867
27,speed_index_adj_6m,0.026357,0.9761
28,front_runner_count_in_race,0.026137,0.9680
29,past_corner_loss_sec_avg,0.023416,0.8672
30,ml_pos_est,0.023269,0.8618
