rank,feature_name,mean_abs_shap,relative_pct
1,trainer_place_rank_in_race,0.267601,9.6233
2,dev_run1_adj,0.249961,8.9890
3,field_count,0.179456,6.4535
4,gate_no,0.154635,5.5609
5,jockey_place_rank_in_race,0.143398,5.1568
6,front_runner_count_in_race,0.084465,3.0375
7,style_pace_affinity,0.082797,2.9775
8,relative_dev_mean_5,0.082175,2.9551
9,age,0.081248,2.9218
10,dev_run2_adj,0.074411,2.6759
11,speed_index_avg_6m,0.067107,2.4133
12,weight_change,0.062700,2.2548
13,venue_sim_place_rate,0.053848,1.9364
14,pace_pressure_index,0.053713,1.9316
15,ml_pos_est,0.050708,1.8235
16,speed_index_best_1y,0.047922,1.7233
17,sire_win_rate,0.037720,1.3564
18,horse_running_style,0.035183,1.2652
19,relative_dev_recent,0.032008,1.1510
20,horse_jockey_pr,0.029974,1.0779
21,jt_combo_place_rate_30d,0.029683,1.0674
22,horse_dist_pr,0.028102,1.0106
23,jockey_smile_pr,0.027895,1.0031
24,trainer_pr_2y,0.026747,0.9619
25,speed_index_trend,0.026086,0.9381
26,venue_sim_runs,0.025902,0.9315
27,jockey_place_rate_90d,0.024806,0.8920
28,speed_index_adj_6m,0.024536,0.8823
29,jt_combo_wr,0.023383,0.8409
30,trend_position_slope,0.023019,0.8278
