rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.271220,9.7035
2,horse_avg_finish,0.202936,7.2605
3,dev_run1_adj,0.194083,6.9437
4,dev_run2_adj,0.117148,4.1912
5,venue_sim_runs,0.115464,4.1310
6,venue_sim_place_rate,0.104837,3.7508
7,jockey_place_rank_in_race,0.093556,3.3472
8,speed_index_trend,0.076288,2.7294
9,trainer_place_rate_90d,0.073312,2.6229
10,jockey_surf_dist_pr,0.068948,2.4668
11,style_surface_wr,0.060236,2.1551
12,front_runner_count_in_race,0.055603,1.9893
13,jockey_place_rate_90d,0.055334,1.9797
14,jockey_sim_venue_dist_pr,0.051463,1.8412
15,relative_dev_mean_5,0.050034,1.7901
16,relative_dev_max_5,0.048900,1.7495
17,trend_position_slope,0.047782,1.7095
18,speed_index_avg_6m,0.042489,1.5201
19,trainer_place_rank_in_race,0.038393,1.3736
20,age,0.038231,1.3678
21,speed_index_best_1y,0.037734,1.3500
22,jockey_smile_pr,0.037223,1.3317
23,horse_pr_2y,0.037208,1.3312
24,horse_venue_pr,0.034752,1.2433
25,trainer_win_rate,0.029888,1.0693
26,trainer_cond_pr,0.029291,1.0479
27,speed_index_best3,0.028349,1.0142
28,relative_dev_recent,0.026706,0.9555
29,horse_dist_pr,0.026517,0.9487
30,trainer_sim_venue_dist_pr,0.026411,0.9449
