rank,feature_name,mean_abs_shap,relative_pct
1,horse_venue_pr,0.284875,11.1768
2,field_count,0.192396,7.5485
3,dev_run1_adj,0.157103,6.1638
4,front_runner_count_in_race,0.115859,4.5456
5,jockey_place_rank_in_race,0.112886,4.4290
6,trainer_place_rank_in_race,0.103662,4.0671
7,venue_sim_runs,0.091972,3.6084
8,gate_no,0.072788,2.8558
9,speed_index_best3,0.068309,2.6800
10,speed_index_adj_best3,0.067820,2.6608
11,pace_pressure_index,0.064009,2.5113
12,dev_run2_adj,0.062138,2.4379
13,jockey_place_rate_90d,0.050360,1.9758
14,jt_combo_wr,0.047084,1.8473
15,speed_index_avg_6m,0.046541,1.8260
16,past_avg_outer_ratio,0.043964,1.7249
17,trainer_horse_pr,0.042538,1.6689
18,style_pace_affinity,0.041078,1.6117
19,trainer_pr_2y,0.039365,1.5444
20,speed_index_adj_6m,0.039127,1.5351
21,ml_pos_est,0.038064,1.4934
22,jt_combo_place_rate_30d,0.036017,1.4131
23,relative_dev_max_5,0.034612,1.3580
24,age,0.033788,1.3257
25,same_dir_runs,0.031955,1.2537
26,relative_dev_recent,0.031144,1.2219
27,speed_index_best_1y,0.031008,1.2166
28,style_surface_wr,0.028783,1.1293
29,past_corner_loss_sec_avg,0.028090,1.1021
30,past_corner_loss_sec_last,0.026209,1.0283
