rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.202157,21.7920
2,trainer_place_rank_in_race,0.165510,17.8415
3,jockey_place_rank_in_race,0.080369,8.6636
4,field_count,0.068707,7.4064
5,dev_run2_adj,0.043964,4.7392
6,venue_sim_place_rate,0.036203,3.9026
7,style_pace_affinity,0.030708,3.3103
8,front_runner_count_in_race,0.026149,2.8188
9,horse_dist_pr,0.024070,2.5947
10,relative_dev_recent,0.022412,2.4159
11,speed_index_avg_6m,0.021591,2.3274
12,relative_dev_mean_5,0.019643,2.1175
13,jockey_place_rate_90d,0.012931,1.3940
14,speed_index_adj_6m,0.011969,1.2902
15,pace_pressure_index,0.010845,1.1690
16,ml_pos_est,0.010318,1.1122
17,relative_dev_max_5,0.010186,1.0981
18,jt_combo_wr,0.009838,1.0605
19,jockey_smile_pr,0.008359,0.9010
20,same_dir_place_rate,0.008157,0.8793
21,jockey_win_rate_90d,0.006325,0.6818
22,horse_venue_pr,0.005571,0.6005
23,age,0.005423,0.5846
24,horse_days_since,0.005021,0.5412
25,venue_sim_runs,0.004474,0.4823
26,past_corner_loss_sec_last,0.003916,0.4221
27,gate_no,0.003808,0.4105
28,trainer_horse_pr,0.002970,0.3202
29,jockey_sim_venue_dist_pr,0.002945,0.3174
30,horse_running_style,0.002662,0.2869
