rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.332802,11.9654
2,jockey_place_rank_in_race,0.266255,9.5728
3,dev_run1_adj,0.223395,8.0318
4,same_dir_runs,0.096351,3.4642
5,dev_run2_adj,0.090347,3.2483
6,grade_code,0.088906,3.1965
7,age,0.086559,3.1121
8,horse_avg_finish,0.084424,3.0353
9,relative_dev_mean_5,0.056794,2.0419
10,trainer_place_rank_in_race,0.050047,1.7994
11,front_runner_count_in_race,0.048794,1.7543
12,same_dir_place_rate,0.045056,1.6199
13,horse_venue_pr,0.043313,1.5573
14,pace_count_fast,0.039948,1.4363
15,jockey_surf_dist_pr,0.039468,1.4190
16,speed_index_best_1y,0.037003,1.3304
17,jockey_win_rate,0.035642,1.2815
18,jockey_pr_2y,0.035416,1.2733
19,venue_sim_win_rate,0.034738,1.2490
20,venue_sim_place_rate,0.034268,1.2321
21,relative_dev_max_5,0.031900,1.1469
22,jockey_win_rate_90d,0.031380,1.1282
23,speed_index_adj_6m,0.030298,1.0893
24,trainer_sim_venue_dist_pr,0.029670,1.0668
25,relative_dev_recent,0.026596,0.9562
26,speed_index_avg_6m,0.023498,0.8448
27,jockey_place_rate_90d,0.022535,0.8102
28,jockey_sim_venue_dist_pr,0.021976,0.7901
29,trainer_win_rate,0.021331,0.7669
30,trainer_pr_2y,0.021254,0.7642
