rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.401652,14.2212
2,field_count,0.219352,7.7665
3,jockey_place_rank_in_race,0.191032,6.7638
4,trainer_place_rank_in_race,0.153629,5.4395
5,dev_run2_adj,0.143281,5.0731
6,age,0.123109,4.3589
7,horse_venue_pr,0.121289,4.2945
8,venue_sim_place_rate,0.106167,3.7590
9,gate_no,0.081431,2.8832
10,speed_index_avg_6m,0.070709,2.5036
11,first_corner_m,0.065137,2.3063
12,pace_count_fast,0.062951,2.2289
13,relative_dev_max_5,0.058302,2.0643
14,speed_index_adj_6m,0.055803,1.9758
15,front_runner_count_in_race,0.045797,1.6215
16,venue_sim_runs,0.042282,1.4971
17,weight_change,0.038867,1.3762
18,speed_index_best_1y,0.037342,1.3221
19,horse_win_rate,0.035959,1.2732
20,relative_dev_mean_5,0.034175,1.2100
21,horse_dist_pr,0.027520,0.9744
22,trainer_pr_2y,0.024990,0.8848
23,relative_dev_recent,0.024897,0.8815
24,speed_index_trend,0.024369,0.8628
25,ml_pos_est,0.024271,0.8594
26,horse_days_since,0.023726,0.8400
27,jockey_place_rate_90d,0.023401,0.8286
28,jt_combo_place_rate_30d,0.023397,0.8284
29,venue_sim_win_rate,0.023220,0.8221
30,jockey_sim_venue_dist_pr,0.023154,0.8198
