rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.421492,14.9916
2,dev_run1_adj,0.253672,9.0226
3,jockey_pr_2y,0.132343,4.7072
4,jockey_place_rank_in_race,0.130996,4.6593
5,horse_avg_finish,0.101438,3.6079
6,trainer_place_rank_in_race,0.082898,2.9485
7,venue_sim_runs,0.077950,2.7725
8,dev_run2_adj,0.066257,2.3566
9,gate_no,0.065121,2.3162
10,jockey_win_rate,0.058588,2.0839
11,front_runner_count_in_race,0.054292,1.9311
12,age,0.044494,1.5826
13,jt_combo_wr,0.044295,1.5755
14,relative_dev_recent,0.040480,1.4398
15,jockey_smile_pr,0.039332,1.3990
16,horse_days_since,0.036265,1.2899
17,speed_index_avg_6m,0.034351,1.2218
18,horse_dist_pr,0.034112,1.2133
19,jockey_place_rate_90d,0.033933,1.2069
20,speed_index_adj_6m,0.033477,1.1907
21,grade_code,0.033093,1.1771
22,horse_jockey_pr,0.029800,1.0599
23,relative_dev_max_5,0.029584,1.0522
24,trainer_pr_2y,0.028578,1.0164
25,speed_index_best_1y,0.028547,1.0154
26,horse_condition_match,0.026525,0.9435
27,past_corner_loss_sec_avg,0.026525,0.9434
28,horse_win_rate,0.026421,0.9398
29,trainer_sim_venue_dist_pr,0.026338,0.9368
30,venue_sim_win_rate,0.026255,0.9338
