rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.090885,13.2601
2,horse_avg_finish,0.066087,9.6421
3,jockey_place_rank_in_race,0.063197,9.2205
4,dev_run1_adj,0.058306,8.5068
5,jockey_dist_pr,0.046589,6.7974
6,relative_dev_mean_5,0.045104,6.5808
7,jockey_place_rate_90d,0.022693,3.3109
8,venue_sim_place_rate,0.022235,3.2441
9,dev_run2_adj,0.015343,2.2385
10,relative_dev_recent,0.014617,2.1327
11,trainer_place_rank_in_race,0.014518,2.1182
12,jockey_win_rate,0.012265,1.7895
13,trainer_pr_2y,0.011500,1.6779
14,horse_pr_2y,0.011286,1.6466
15,jockey_pr_2y,0.011192,1.6329
16,trainer_smile_pr,0.010294,1.5020
17,front_runner_count_in_race,0.007060,1.0300
18,horse_days_since,0.006087,0.8880
19,same_dir_runs,0.005711,0.8333
20,jt_combo_place_rate_30d,0.005598,0.8168
21,jockey_win_rate_90d,0.005123,0.7474
22,trainer_sim_venue_dist_pr,0.004984,0.7271
23,trend_position_slope,0.004808,0.7015
24,trainer_cond_pr,0.004795,0.6996
25,trainer_dist_pr,0.004780,0.6974
26,relative_dev_max_5,0.004758,0.6941
27,age,0.004625,0.6748
28,trainer_win_rate,0.004457,0.6502
29,grade_code,0.004348,0.6344
30,same_dir_place_rate,0.004284,0.6251
