rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.145788,22.2193
2,field_count,0.083477,12.7225
3,jockey_place_rank_in_race,0.056892,8.6708
4,trainer_place_rank_in_race,0.043905,6.6915
5,dev_run2_adj,0.040832,6.2231
6,horse_venue_pr,0.028734,4.3793
7,jt_combo_wr,0.028658,4.3677
8,relative_dev_recent,0.022384,3.4116
9,venue_sim_place_rate,0.019370,2.9522
10,relative_dev_mean_5,0.016121,2.4569
11,style_pace_affinity,0.014831,2.2604
12,jockey_win_rate,0.012476,1.9015
13,relative_dev_max_5,0.011539,1.7586
14,jockey_pr_2y,0.008371,1.2758
15,jockey_place_rate_90d,0.007215,1.0996
16,horse_running_style,0.006192,0.9437
17,trainer_horse_pr,0.005878,0.8959
18,jockey_sim_venue_dist_pr,0.005236,0.7980
19,speed_index_trend,0.005070,0.7727
20,jockey_surf_dist_pr,0.004805,0.7323
21,ml_pos_est,0.004706,0.7172
22,horse_pr_2y,0.003913,0.5963
23,past_avg_outer_ratio,0.003714,0.5660
24,horse_jockey_pr,0.003516,0.5359
25,jockey_win_rate_90d,0.003315,0.5052
26,front_runner_count_in_race,0.003247,0.4948
27,speed_index_adj_6m,0.003242,0.4941
28,same_dir_runs,0.003115,0.4748
29,past_corner_loss_sec_avg,0.002936,0.4475
30,jockey_cond_pr,0.002916,0.4444
