rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.278224,11.2232
2,field_count,0.232366,9.3734
3,jockey_place_rank_in_race,0.164792,6.6475
4,trainer_horse_pr,0.115241,4.6487
5,dev_run2_adj,0.097017,3.9135
6,front_runner_count_in_race,0.090335,3.6440
7,horse_venue_pr,0.083244,3.3580
8,speed_index_adj_6m,0.075456,3.0438
9,speed_index_avg_6m,0.071309,2.8765
10,venue_sim_runs,0.056898,2.2952
11,relative_dev_max_5,0.053189,2.1456
12,speed_index_best3,0.053073,2.1409
13,speed_index_adj_best3,0.044442,1.7927
14,style_pace_affinity,0.041955,1.6924
15,horse_pr_2y,0.040039,1.6151
16,venue_sim_place_rate,0.038220,1.5417
17,pace_count_fast,0.036387,1.4678
18,trainer_place_rank_in_race,0.034980,1.4111
19,ml_pos_est,0.034696,1.3996
20,jt_combo_wr,0.034559,1.3941
21,horse_days_since,0.033620,1.3562
22,jockey_sim_venue_dist_pr,0.032252,1.3010
23,speed_index_trend,0.030222,1.2191
24,weight_change,0.027741,1.1190
25,horse_jockey_pr,0.026532,1.0703
26,jt_combo_place_rate_30d,0.026132,1.0541
27,horse_avg_finish,0.025768,1.0394
28,trainer_pr_2y,0.025183,1.0159
29,first_corner_m,0.022966,0.9264
30,speed_index_best_1y,0.022649,0.9136
