rank,feature_name,mean_abs_shap,relative_pct
1,jockey_place_rank_in_race,0.100043,12.6136
2,relative_dev_mean_5,0.078126,9.8503
3,field_count,0.071954,9.0721
4,dev_run1_adj,0.068858,8.6818
5,trainer_place_rank_in_race,0.053906,6.7965
6,venue_sim_place_rate,0.053899,6.7956
7,trainer_horse_pr,0.036755,4.6341
8,dev_run2_adj,0.027326,3.4453
9,jockey_place_rate_90d,0.024246,3.0570
10,venue_sim_runs,0.018416,2.3220
11,ml_pos_est,0.017534,2.2107
12,relative_dev_recent,0.015266,1.9247
13,horse_context_pr,0.013899,1.7524
14,same_dir_place_rate,0.011230,1.4159
15,relative_dev_max_5,0.010414,1.3131
16,jockey_pr_2y,0.008958,1.1294
17,train_final_3f_dev,0.007932,1.0000
18,horse_venue_pr,0.007545,0.9513
19,style_pace_affinity,0.007344,0.9260
20,age,0.006605,0.8328
21,past_corner_loss_sec_last,0.006521,0.8221
22,jt_combo_wr,0.006482,0.8173
23,horse_running_style,0.006314,0.7961
24,style_surface_wr,0.005892,0.7429
25,venue_sim_win_rate,0.005738,0.7235
26,past_avg_outer_ratio,0.005380,0.6783
27,train_final_3f_rank_in_race,0.005192,0.6546
28,same_dir_runs,0.004850,0.6114
29,speed_index_avg_6m,0.004656,0.5870
30,trainer_surf_dist_pr,0.004443,0.5601
