rank,feature_name,mean_abs_shap,relative_pct
1,jockey_place_rank_in_race,0.347628,12.2794
2,field_count,0.332966,11.7615
3,dev_run1_adj,0.296606,10.4771
4,trainer_place_rank_in_race,0.160728,5.6775
5,dev_run2_adj,0.089119,3.1480
6,horse_avg_finish,0.083053,2.9337
7,age,0.071366,2.5209
8,relative_dev_max_5,0.065538,2.3150
9,grade_code,0.063793,2.2534
10,horse_days_since,0.053641,1.8948
11,front_runner_count_in_race,0.049500,1.7485
12,venue_sim_place_rate,0.039210,1.3850
13,trainer_pr_2y,0.036445,1.2874
14,trainer_win_rate,0.032936,1.1634
15,gate_no,0.030355,1.0722
16,horse_win_rate,0.027967,0.9879
17,jockey_win_rate,0.027851,0.9838
18,venue_sim_runs,0.027627,0.9759
19,trainer_cond_pr,0.027440,0.9693
20,sire_context_pr,0.026502,0.9362
21,trainer_place_rate_90d,0.026310,0.9294
22,horse_venue_pr,0.026268,0.9279
23,relative_dev_mean_5,0.026227,0.9264
24,horse_dist_pr,0.024073,0.8503
25,same_dir_runs,0.023944,0.8458
26,pace_count_fast,0.023161,0.8181
27,same_dir_place_rate,0.022958,0.8110
28,horse_context_pr,0.022714,0.8023
29,pace_pressure_index,0.022247,0.7858
30,trend_position_slope,0.020793,0.7345
