rank,feature_name,mean_abs_shap,relative_pct
1,relative_dev_mean_5,0.290934,9.0944
2,field_count,0.269177,8.4143
3,dev_run1_adj,0.235730,7.3688
4,jockey_place_rank_in_race,0.117253,3.6653
5,jockey_place_rate_90d,0.103057,3.2215
6,age,0.095171,2.9750
7,venue_sim_place_rate,0.089601,2.8009
8,venue_sim_runs,0.086036,2.6894
9,horse_avg_finish,0.076935,2.4049
10,trainer_place_rank_in_race,0.075326,2.3546
11,dev_run2_adj,0.063827,1.9952
12,weight_change,0.053896,1.6847
13,speed_index_adj_6m,0.052571,1.6433
14,trainer_dist_pr,0.049411,1.5446
15,ml_pos_est,0.049315,1.5416
16,pace_pressure_index,0.047414,1.4821
17,gate_no,0.046935,1.4671
18,jockey_win_rate_90d,0.046319,1.4479
19,speed_index_avg_6m,0.046032,1.4389
20,jockey_surf_dist_pr,0.045448,1.4207
21,jockey_smile_pr,0.044785,1.3999
22,past_corner_loss_sec_avg,0.041876,1.3090
23,trainer_surf_dist_pr,0.041872,1.3089
24,past_avg_outer_ratio,0.039661,1.2398
25,jockey_sim_venue_dist_pr,0.039194,1.2252
26,trainer_cond_pr,0.038576,1.2058
27,style_surface_wr,0.038253,1.1958
28,horse_context_pr,0.037200,1.1628
29,bms_win_rate,0.036866,1.1524
30,front_runner_count_in_race,0.036664,1.1461
