rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.191064,20.5461
2,horse_venue_pr,0.132264,14.2231
3,dev_run2_adj,0.058351,6.2748
4,jt_combo_wr,0.055010,5.9155
5,trainer_place_rank_in_race,0.043523,4.6803
6,relative_dev_recent,0.033623,3.6157
7,jockey_place_rank_in_race,0.032094,3.4512
8,trainer_horse_pr,0.031149,3.3497
9,venue_sim_runs,0.029755,3.1997
10,same_dir_runs,0.019688,2.1172
11,field_count,0.017998,1.9354
12,relative_dev_mean_5,0.017688,1.9021
13,relative_dev_max_5,0.016246,1.7470
14,jockey_sim_venue_dist_pr,0.015883,1.7080
15,pace_pressure_index,0.015620,1.6797
16,jockey_smile_pr,0.014190,1.5259
17,style_pace_affinity,0.013900,1.4947
18,horse_dist_pr,0.013264,1.4263
19,gate_no,0.012038,1.2946
20,venue_sim_place_rate,0.011827,1.2718
21,jockey_place_rate_90d,0.011268,1.2118
22,front_runner_count_in_race,0.008678,0.9332
23,past_corner_loss_sec_avg,0.008511,0.9153
24,past_avg_outer_ratio,0.007936,0.8534
25,jockey_win_rate_90d,0.007202,0.7745
26,ml_pos_est,0.007074,0.7607
27,past_corner_loss_sec_last,0.006535,0.7028
28,jockey_surf_dist_pr,0.005788,0.6224
29,speed_index_best3,0.005603,0.6026
30,speed_index_trend,0.005120,0.5506
