rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.169187,19.7475
2,field_count,0.085724,10.0058
3,jockey_place_rank_in_race,0.074774,8.7276
4,horse_venue_pr,0.042916,5.0091
5,trainer_horse_pr,0.038044,4.4405
6,jockey_smile_pr,0.036899,4.3069
7,speed_index_avg_6m,0.029974,3.4985
8,relative_dev_recent,0.029866,3.4860
9,speed_index_best3,0.020315,2.3712
10,relative_dev_max_5,0.017964,2.0968
11,dev_run2_adj,0.016951,1.9785
12,style_pace_affinity,0.016158,1.8860
13,front_runner_count_in_race,0.015644,1.8259
14,speed_index_adj_best3,0.014826,1.7305
15,jockey_sim_venue_dist_pr,0.014723,1.7184
16,speed_index_best_1y,0.013642,1.5922
17,ml_pos_est,0.013489,1.5744
18,relative_dev_mean_5,0.012414,1.4490
19,horse_running_style,0.010775,1.2576
20,jt_combo_wr,0.010679,1.2465
21,horse_jockey_pr,0.009696,1.1318
22,speed_index_adj_6m,0.009422,1.0998
23,jockey_pr_2y,0.009303,1.0858
24,pace_pressure_index,0.009080,1.0599
25,horse_days_since,0.009055,1.0568
26,jockey_win_rate,0.008422,0.9830
27,trainer_place_rank_in_race,0.006273,0.7321
28,jockey_cond_pr,0.005850,0.6828
29,past_avg_outer_ratio,0.005120,0.5976
30,jt_combo_wr_30d,0.004939,0.5765
