rank,feature_name,mean_abs_shap,relative_pct
1,field_count,0.258049,8.7237
2,horse_venue_pr,0.247039,8.3515
3,trainer_place_rank_in_race,0.173015,5.8490
4,jockey_place_rank_in_race,0.166763,5.6377
5,venue_sim_runs,0.122780,4.1507
6,dev_run1_adj,0.122430,4.1389
7,front_runner_count_in_race,0.095246,3.2199
8,gate_no,0.081516,2.7558
9,pace_pressure_index,0.075698,2.5591
10,dev_run2_adj,0.073508,2.4851
11,speed_index_adj_6m,0.068743,2.3240
12,ml_pos_est,0.064298,2.1737
13,speed_index_avg_6m,0.059530,2.0125
14,relative_dev_max_5,0.053112,1.7955
15,horse_dist_pr,0.050643,1.7121
16,style_pace_affinity,0.048748,1.6480
17,age,0.048269,1.6318
18,past_corner_loss_sec_avg,0.048067,1.6250
19,weight_change,0.047243,1.5971
20,jockey_win_rate_90d,0.044891,1.5176
21,venue_sim_place_rate,0.041326,1.3971
22,jockey_cond_pr,0.040369,1.3647
23,speed_index_best3,0.038613,1.3054
24,jt_combo_wr,0.037664,1.2733
25,horse_days_since,0.036940,1.2488
26,relative_dev_mean_5,0.032330,1.0930
27,trainer_pr_2y,0.030755,1.0397
28,jockey_pr_2y,0.029670,1.0030
29,trend_position_slope,0.029094,0.9836
30,bms_surf_wr,0.028446,0.9617
