rank,feature_name,mean_abs_shap,relative_pct
1,dev_run1_adj,0.183876,18.1733
2,jockey_place_rank_in_race,0.139627,13.8000
3,field_count,0.112274,11.0965
4,style_pace_affinity,0.044246,4.3730
5,dev_run2_adj,0.035247,3.4836
6,relative_dev_mean_5,0.029988,2.9638
7,same_dir_place_rate,0.027589,2.7268
8,venue_sim_runs,0.024789,2.4500
9,horse_venue_pr,0.021429,2.1179
10,jockey_sim_venue_dist_pr,0.020928,2.0684
11,trainer_place_rank_in_race,0.020605,2.0365
12,ml_pos_est,0.020603,2.0362
13,horse_dist_pr,0.019644,1.9415
14,relative_dev_recent,0.014862,1.4689
15,horse_context_pr,0.012507,1.2361
16,jockey_smile_pr,0.011682,1.1546
17,jockey_cond_pr,0.011556,1.1421
18,past_corner_loss_sec_last,0.011179,1.1049
19,venue_sim_place_rate,0.010141,1.0022
20,relative_dev_max_5,0.010129,1.0011
21,speed_index_adj_6m,0.009554,0.9442
22,pace_pressure_index,0.008942,0.8837
23,trainer_horse_pr,0.008874,0.8770
24,horse_pr_2y,0.008776,0.8674
25,jt_combo_wr,0.008407,0.8309
26,horse_running_style,0.007974,0.7881
27,speed_index_avg_6m,0.007801,0.7710
28,horse_condition_match,0.007474,0.7387
29,same_dir_runs,0.007329,0.7243
30,jockey_place_rate_90d,0.006678,0.6600
